Country,Life expectancy,Adult Mortality,Hepatitis B,Measles,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Schooling
China,-0.15312808788808674,-0.3116950673440298,0.317759924147462,2.093573947875106,-1.0674204522583386,0.5199358700315658,0.5207046525297079,-0.347763039279646,-1.5609081807983136,-1.0435048294732974
Switzerland,0.645075255840796,-0.5712907278272009,,-0.5869484908214389,0.625629897067019,0.6210275778389516,0.5865888346296287,-0.347763039279646,1.5926048264974084,0.19627795626103245
Democratic Republic of the Congo,-1.990665142545129,2.4519170682163964,-0.9179576812679907,1.400096797956338,-1.4084588584185826,-1.7602437616239108,-2.1904294408820366,1.0094011395553022,,
Luxembourg,0.4917410736217699,-0.40093107563511987,0.8246075890744874,-0.6031795476584534,0.4192213119773637,0.7820254828655286,0.8171834719793519,-0.347763039279646,1.357263853715242,-0.35408375430981576
Nigeria,-2.4191352565684565,2.2085461365134234,-1.2756378991952333,1.5119380442158048,-1.1849090759512395,-2.617651209323589,-2.3254920141868745,3.3881398093678294,-1.617376053460902,-1.8073520434328372
India,-1.0279985227264832,0.7384054342632425,-1.6114455858103782,1.299014833144807,-1.4680959409617875,-0.9215570005552297,-0.8628631715686308,-0.224384477567378,-1.647308799899959,-1.4998545752491252
Qatar,0.12077127793057704,-0.2882593479948546,0.9387146550004669,-0.5992842987612702,1.437694122834972,0.6509806764485473,0.3296405244399373,-0.347763039279646,0.6402941136472042,-0.6008651618967439
Denmark,0.34088002337401757,-0.42256404734205083,,-0.6025806723352334,0.8763199087157011,0.1792193733474142,0.2406968786050441,-0.347763039279646,0.20003026893025472,0.7603497450311543
Japan,0.6654785946038113,-0.5514605037625143,,-0.3216697563012439,-0.8502986188076284,0.6584689511009462,0.675532480464522,-0.347763039279646,-0.26853889071911263,0.06505292206798301
Netherlands,0.526364921219614,-0.4865615886417215,-1.0509941364251016,-0.5929090917948553,0.7702587499412586,0.7071427363415393,0.7051803624094863,-0.347763039279646,0.30878093784257116,0.7172609278334358
Australia,0.5937577674368479,-0.46402724311366844,0.8681274932881171,-0.5989695053221417,0.8784625583879118,0.1043366268234248,0.1814011147151153,-0.347763039279646,0.29002898764822505,1.6515048279839504
Ireland,0.4292944913470863,-0.33062391758759435,0.5893170500333201,-0.5960800598524177,0.7541888773996764,0.06689525356143011,0.14187060545516278,-0.347763039279646,0.24404292398107436,0.9052848574234768
Austria,0.5609887688174595,-0.42707091644766143,0.34429645110699214,-0.6000623248222056,0.44564732460129874,0.059406978909031176,0.1748126965051232,-0.347763039279646,0.2435960880179402,0.19431937366113575
Iceland,0.6562043497115315,-0.6632308575816575,,-0.6032256149910088,0.6049176169023133,0.2840552184809993,0.33293473354493336,-0.347763039279646,0.03335413207987861,1.061971465415177
Singapore,0.56037048582464,-0.48115334571498874,0.9732121400478562,-0.5997142605317871,-0.8331574214299406,0.6659572257533452,0.672238271359526,-0.347763039279646,0.18413579251848886,-0.24636171131552173
